Título de la iniciativa,Descripción detallada,Ubicación aproximada (si aplica),Dirección o referencias,Categorías relacionadas,Sector,Foto / Volante,Video (opcional),(Oferente) Nombre de la organización o persona referente,(Oferente) Email,(Oferente) Teléfono,(Oferente) Web; Twitter; Grupo Whatsapp; Telegram; y otras redes,(Oferente) Información adicional de la organización o áreas en las que requiere apoyo,Fuente,Link a la fuente,Acuerdo de consentimiento,long,lat,grupo,pie,fuente
HPHPy-PtoHigiene- Pasillo Campanero,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6146,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.6283114,-25.2825668,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
HPHPy-PtoHigiene- Comedor Refugio Nueva Esperanza,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6147,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.6229119,-25.2782413,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
HPHPy-PtoHigiene- Comedor Comuneros,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6148,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.6271256,-25.2822358,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
HPHPy-PtoHigiene- Comedor 3 de Febrero,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6149,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.6293518,-25.2805639,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
HPHPy-PtoHigiene- Comedor Huracan Juntos podemos,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6150,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.6262689,-25.2818848,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
HPHPy-PtoHigiene- Comedor Sonidos ,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6151,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.6251344,-25.2807035,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
HPHPy-PtoHigiene- Comedor San Pedro,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6152,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.6124592,-25.2748775,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
HPHPy-PtoHigiene- Comedor San Vicente,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6153,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.61602,-25.2776763,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
HPHPy-PtoHigiene- Comedor 12 de Junio,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6154,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.6138794,-25.2765205,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
HPHPy-PtoHigiene- Comedor Pelopincho,"Iniciativa realizada durante el mes de mayo de 2020 que logró instalar 35 lavamanos; entregar kits de higiene; promover la forma correcta de lavarse las manos y coordinar con los referentes comunitarios el mantenimiento de estos servicios. Campaña ""Acción inmediata - Salva vidas en asentamientos precarios"" impulsada por Hábitat para la Humanidad Paraguay. https://www.habitat.org.py/dona/covid-19-accion-inmediata/",,Barrio Chacarita - Asunción,Salud; Higiene; Autogestión comunitaria ;Grupo de apoyo / Voluntarios,Privado,https://scontent.fasu6-1.fna.fbcdn.net/v/t1.0-9/p960x960/95699347_3318876068141617_1757426374718521344_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_eui2=AeFiaye_N2qcGd74Tf_036Qu6fxEVKfe26np_ERUp97bqcxDw97TUkvkHZ7_8uKu2Ko&_nc_ohc=oAmOoW-QCPkAX8btFb5&_nc_ht=scontent.fasu6-1.fna&_nc_tp=6&oh=5be5263dcaa6d53daba94b5642f2c8fd&oe=5F2C6155,https://www.youtube.com/embed/AmKAg60ojnw,Habitat para la Humanidad Paraguay,habipar@habitat.org.py,https://wa.me/595983307075,https://www.facebook.com/habitatpy/,Nuestra misión: Hábitat para la Humanidad convoca a la gente para construir viviendas; comunidades y esperanza; y así mostrar el amor de Dios en acción.,,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,sí,-57.6242338,-25.2824028,Somos una organización o grupo,https://www.habitat.org.py/dona/covid-19-accion-inmediata/,Reporte identificado por equipo impulsor
