lat,long,Nombre,Descripción detallada,Dirección o referencias,Categorías relacionadas,Sector,Video (opcional),(Oferente) Nombre de la organización o persona referente,(Oferente) Email,(Oferente) Teléfono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Información adicional de la organización o áreas en las que requiere apoyo,Fuente,Link a la fuente,grupo
-25.2629351,-57.6014487,RED - HPHPY - OLLA POPULAR MBOCAYATY,Puntos de higiene:1 - Alcance: 130 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - LA CANDELARIA,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 553",,,,,Somos una organización o grupo
-25.2632751,-57.6016587,RED - HPHPY - OLLA POPULAR KUÑA MBARETE,Puntos de higiene:1 - Alcance: 130 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - LA CANDELARIA,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 554",,,,,Somos una organización o grupo
-25.2638851,-57.6027287,RED - HPHPY - OLLA POPULAR SANDER,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - LA CANDELARIA,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 555",,,,,Somos una organización o grupo
-25.2617751,-57.6017987,RED - HPHPY - OLLA POPULAR MITÃ RÓGA,Puntos de higiene:1 - Alcance: 100 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - LA CANDELARIA,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO):0981 256 677 - Melissa Cartasso (Hábitat):0984 943 556",,,,,Somos una organización o grupo
-25.2615151,-57.6007587,RED - HPHPY - OLLA POPULAR LAGUNA PYTÃ,Puntos de higiene:1 - Alcance: 150 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - LA CANDELARIA,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 557",,,,,Somos una organización o grupo
-25.2656651,-57.6056687,RED - HPHPY - OLLA POPULAR SAN FRANCISCO,Puntos de higiene:1 - Alcance: 180 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - LA CANDELARIA,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
