Post ID,Survey,Post Status,Created (UTC),Updated (UTC),Post Date (UTC),Contact ID,Contact,Data Source ID,Source,Unstructured Description,T铆tulo de la iniciativa,Descripci贸n detallada,Ubicaci贸n aproximada (si aplica).lat,Ubicaci贸n aproximada (si aplica).lon,Direcci贸n o referencias,驴Es un ofrecimiento individual o de grupo?,Tareas realizadas y pendientes sobre este posteo,,Sector,Foto / Volante,Video (opcional),(Oferente) Nombre de la organizaci贸n o persona referente,(Oferente) Email,(Oferente) Tel茅fono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Informaci贸n adicional de la organizaci贸n o 谩reas en las que requiere apoyo,Fuente,Link a la fuente,Conexiones o colaboraciones,Acuerdo de consentimiento,Inicio de vigencia de la iniciativa,Fin de vigencia de la iniciativa,ODS Relacionados
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 160 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.310306,-57.41,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 677,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 184 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.312417,-57.411444,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 678,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.312639,-57.413139,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 679,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 216 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.309333,-57.40925,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 680,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 1200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.291426,-57.414547,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 681,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 252 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.283722,-57.414528,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 682,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.31932,-57.41371,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 683,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.321049,-57.41691,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 684,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 168 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.324058,-57.423995,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 685,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
