id,channel,name,authorized,description,department,city,frequency,source,link,lat,lon,agreement
ZPC469,284,"15 DE AGOSTO FM - ZPC469 - 104,7MHz",ASOCIACIÓN 15 DE AGOSTO RADIO COMUNITARIA,"Departamento: San Pedro Localidad: Colonia Tuyango - Itacurubí del Rosario Frecuencia: 104,7MHz P.E.R.: 50W",San Pedro,Colonia Tuyango - Itacurubí del Rosario,"104,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.586944/-56.647778,-24.586944,-56.647778,"Sí, de acuerdo"
ZPD869,300,"19 DE ERERO COMUNICACIONES FM - ZPD869 - 107,9MHz",ASOCIACIÓN 19 DE ERENO COMUNICACIONES FM,"Departamento: Paraguarí Localidad: Paraguarí Frecuencia: 107,9MHz P.E.R.: 50W",Paraguarí,Paraguarí,"107,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.615556/-57.149167,-25.615556,-57.149167,"Sí, de acuerdo"
ZPD700,269,"6 DE ENERO - ZPD700 - 101,7MHz",ASOCIACION 6 DE ENERO,"Departamento: Central Localidad: Villa Elisa Frecuencia: 101,7MHz P.E.R.: 10W",Central,Villa Elisa,"101,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.348889/-57.575,-25.348889,-57.575,"Sí, de acuerdo"
ZPD859,212,"ACEVAL POTY - ZPD859 - 90,3MHz",ASOCIACIÓN E.C.A RADIO FM CAMPO ACEVAL COMUNITARIA,"Departamento: Presidente Hayes Localidad: CAMPO ACEVAL Frecuencia: 90,3MHz P.E.R.: 150W",Presidente Hayes,CAMPO ACEVAL,"90,3",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.171667/-59.856389,-23.171667,-59.856389,"Sí, de acuerdo"
ZPD704,219,"ACOSTA ÑÚ FM - ZPD704 - 91,7MHz",COMPLEJO EDUCATIVO PRIVADO RAMÓN I. CARDOZO,"Departamento: Cordillera Localidad: Eusebio Ayala Frecuencia: 91,7MHz P.E.R.: 50W",Cordillera,Eusebio Ayala,"91,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.380833/-56.964167,-25.380833,-56.964167,"Sí, de acuerdo"
ZPD892,226,"ADMIRACIÓN FM - ZPD892 - 93,1MHz",CENTRO COMUNITARIO BARRIO SAN PABLO,"Departamento: Guairá Localidad: Fassardi Frecuencia: 93,1MHz P.E.R.: 50W",Guairá,Fassardi,"93,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.995833/-56.140278,-25.995833,-56.140278,"Sí, de acuerdo"
ZPD753,204,"ADORACIÓN FM - ZPD753 - 88,7MHz",ASOCIACIÓN ACARAY POTY,"Departamento: Alto Parana Localidad: Minga Guazú Frecuencia: 88,7MHz P.E.R.: 25W",Alto Parana,Minga Guazú,"88,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.478611/-54.766111,-25.478611,-54.766111,"Sí, de acuerdo"
ZPC774,296,"AGRO YGUAZÚ FM - ZPC774 - 107,1MHz",ASOCIACIÓN AGRO YGUAZÚ,"Departamento: Caaguazú Localidad: Raúl Arsenio Oviedo Frecuencia: 107,1MHz P.E.R.: 50W",Caaguazú,Raúl Arsenio Oviedo,"107,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.134167/-55.433333,-25.134167,-55.433333,"Sí, de acuerdo"
ZPD885,200,"AGUAITY FM - ZPD885 - 87,9MHz",CONSEJO DE DESARROLLO AGUAITY,"Departamento: Cordillera Localidad: Eusebio Ayala Frecuencia: 87,9MHz P.E.R.: 50W",Cordillera,Eusebio Ayala,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.337778/-57.025833,-25.337778,-57.025833,"Sí, de acuerdo"
ZPC494,200,"AGUAPETY FM - ZPC494 - 87,9MHz",ASOCIACIÓN RADIO COMUNITARIA AGUAPETY FM,"Departamento: Caaguazú Localidad: Coronel Oviedo Frecuencia: 87,9MHz P.E.R.: 50W",Caaguazú,Coronel Oviedo,"87,9",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.576944/-56.450556,-25.576944,-56.450556,"Sí, de acuerdo"
ZPC479,279,"ALFA Y OMEGA FM - ZPC479 - 103,7MHz",ASOCIACIÓN COMUNITARIA ALFA Y OMEGA COMUNICACIONES,"Departamento: Concepción Localidad: Concepción Frecuencia: 103,7MHz P.E.R.: 50W",Concepción,Concepción,"103,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.417222/-57.423056,-23.417222,-57.423056,"Sí, de acuerdo"
ZPC357,246,"ALTERNATIVA FM - ZPC357 - 97,1MHz",ASOCIACIÓN ALTERNATIVA FM RADIO COMUNITARIA,"Departamento: Amambay Localidad: Bella Vista Frecuencia: 97,1MHz P.E.R.: 50W",Amambay,Bella Vista,"97,1",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-22.133333/-56.5,-22.133333,-56.5,"Sí, de acuerdo"
ZPD760,269,"AMANECER FM - ZPD760 - 101,7MHz",ASOCIACIÓN CIVIL AMANECER COMUNICACIONES,"Departamento: Presidente Hayes Localidad: Villa Hayes Frecuencia: 101,7MHz P.E.R.: 25W",Presidente Hayes,Villa Hayes,"101,7",CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.091944/-57.523611,-25.091944,-57.523611,"Sí, de acuerdo"
