id,channel,name,authorized,description,department,city,source,link,lat,lon,agreement,category
ZPC469,284,"15 DE AGOSTO FM - ZPC469 - 104,7MHz",ASOCIACIÓN 15 DE AGOSTO RADIO COMUNITARIA,"Departamento: San Pedro<br>Localidad: Colonia Tuyango - Itacurubí del Rosario<br>Frecuencia: 104,7MHz<br>P.E.R.: 50W",San Pedro,Colonia Tuyango - Itacurubí del Rosario,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.586944/-56.647778,-24.586944,-56.647778,"SI, Acepto",Radios Comunitarias
ZPD869,300,"19 DE ERERO COMUNICACIONES FM - ZPD869 - 107,9MHz",ASOCIACIÓN 19 DE ERENO COMUNICACIONES FM,"Departamento: Paraguarí<br>Localidad: Paraguarí<br>Frecuencia: 107,9MHz<br>P.E.R.: 50W",Paraguarí,Paraguarí,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.615556/-57.149167,-25.615556,-57.149167,"SI, Acepto",Radios Comunitarias
ZPD700,269,"6 DE ENERO - ZPD700 - 101,7MHz",ASOCIACION 6 DE ENERO,"Departamento: Central<br>Localidad: Villa Elisa<br>Frecuencia: 101,7MHz<br>P.E.R.: 10W",Central,Villa Elisa,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.348889/-57.575,-25.348889,-57.575,"SI, Acepto",Radios Comunitarias
ZPD859,212,"ACEVAL POTY - ZPD859 - 90,3MHz",ASOCIACIÓN E.C.A RADIO FM CAMPO ACEVAL COMUNITARIA,"Departamento: Presidente Hayes<br>Localidad: CAMPO ACEVAL<br>Frecuencia: 90,3MHz<br>P.E.R.: 150W",Presidente Hayes,CAMPO ACEVAL,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.171667/-59.856389,-23.171667,-59.856389,"SI, Acepto",Radios Comunitarias
ZPD704,219,"ACOSTA ÑÚ FM - ZPD704 - 91,7MHz",COMPLEJO EDUCATIVO PRIVADO RAMÓN I. CARDOZO,"Departamento: Cordillera<br>Localidad: Eusebio Ayala<br>Frecuencia: 91,7MHz<br>P.E.R.: 50W",Cordillera,Eusebio Ayala,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.380833/-56.964167,-25.380833,-56.964167,"SI, Acepto",Radios Comunitarias
ZPD892,226,"ADMIRACIÓN FM - ZPD892 - 93,1MHz",CENTRO COMUNITARIO BARRIO SAN PABLO,"Departamento: Guairá<br>Localidad: Fassardi<br>Frecuencia: 93,1MHz<br>P.E.R.: 50W",Guairá,Fassardi,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.995833/-56.140278,-25.995833,-56.140278,"SI, Acepto",Radios Comunitarias
ZPD753,204,"ADORACIÓN FM - ZPD753 - 88,7MHz",ASOCIACIÓN ACARAY POTY,"Departamento: Alto Parana<br>Localidad: Minga Guazú<br>Frecuencia: 88,7MHz<br>P.E.R.: 25W",Alto Parana,Minga Guazú,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.478611/-54.766111,-25.478611,-54.766111,"SI, Acepto",Radios Comunitarias
ZPC774,296,"AGRO YGUAZÚ FM - ZPC774 - 107,1MHz",ASOCIACIÓN AGRO YGUAZÚ,"Departamento: Caaguazú<br>Localidad: Raúl Arsenio Oviedo<br>Frecuencia: 107,1MHz<br>P.E.R.: 50W",Caaguazú,Raúl Arsenio Oviedo,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.134167/-55.433333,-25.134167,-55.433333,"SI, Acepto",Radios Comunitarias
ZPD885,200,"AGUAITY FM - ZPD885 - 87,9MHz",CONSEJO DE DESARROLLO AGUAITY,"Departamento: Cordillera<br>Localidad: Eusebio Ayala<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Cordillera,Eusebio Ayala,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.337778/-57.025833,-25.337778,-57.025833,"SI, Acepto",Radios Comunitarias
ZPC494,200,"AGUAPETY FM - ZPC494 - 87,9MHz",ASOCIACIÓN RADIO COMUNITARIA AGUAPETY FM,"Departamento: Caaguazú<br>Localidad: Coronel Oviedo<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Caaguazú,Coronel Oviedo,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.576944/-56.450556,-25.576944,-56.450556,"SI, Acepto",Radios Comunitarias
