id,channel,name,authorized,description,department,city,source,link,lat,lon,agreement,category
ZPC325,240,"ORIGINAL FM - ZPC325 - 95,9MHz",RADIO COMUNITARIA ORIGINAL,"Departamento: Itapúa<br>Localidad: Natalio<br>Frecuencia: 95,9MHz<br>P.E.R.: 50W",Itapúa,Natalio,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.755/-55.138889,-26.755,-55.138889,"SI, Acepto",Radios Comunitarias
ZPC314,285,"PAISAJE FM - ZPC314 - 104,9MHz",ASOCIACIÓN DE LA RADIO COMUNITARIA PAISAJE FM,"Departamento: Caaguazú<br>Localidad: San José de los Arroyos<br>Frecuencia: 104,9MHz<br>P.E.R.: 50W",Caaguazú,San José de los Arroyos,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.530833/-56.731667,-25.530833,-56.731667,"SI, Acepto",Radios Comunitarias
ZPD705,201,"PARQUE AZOTEY - ZPD705 - 88,1MHz",ASOCIACIÓN RADIO COMUNITARIA PARQUE AZOTEY FM,"Departamento: Concepción<br>Localidad: Azotey<br>Frecuencia: 88,1MHz<br>P.E.R.: 50W",Concepción,Azotey,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.320556/-56.489722,-23.320556,-56.489722,"SI, Acepto",Radios Comunitarias
ZPC645,200,"PASIÓN FM - ZPC645 - 87,9MHz",ASOCIACIÓN RADIO COMUNITARIA PASIÓN FM,"Departamento: Central<br>Localidad: Capiata<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Central,Capiata,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.356667/-57.421944,-25.356667,-57.421944,"SI, Acepto",Radios Comunitarias
ZPC336,260,"PAZ Y BIEN - ZPC336 - 99,9MHz",ORDEN FRANCISCANA SEGLAR,"Departamento: Guairá<br>Localidad: Villarrica<br>Frecuencia: 99,9MHz<br>P.E.R.: 50W",Guairá,Villarrica,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.769722/-56.438333,-25.769722,-56.438333,"SI, Acepto",Radios Comunitarias
ZPC352,295,"PILAR FM - ZPC352 - 106,9MHz",ASOCIACIÓN DE FOMENTO Y AYUDA SOCIAL TUPASY,"Departamento: Ñeembucú<br>Localidad: Pilar<br>Frecuencia: 106,9MHz<br>P.E.R.: 50W",Ñeembucú,Pilar,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-26.858889/-58.294167,-26.858889,-58.294167,"SI, Acepto",Radios Comunitarias
ZPD736,213,"PIRO'Y FM - ZPD736 - 90,5MHz",ASOCIACIÓN RADIO COMUNITARIA PIRO'Y,"Departamento: Alto Parana<br>Localidad: Minga Guazú<br>Frecuencia: 90,5MHz<br>P.E.R.: 50W",Alto Parana,Minga Guazú,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.480556/-54.759444,-25.480556,-54.759444,"SI, Acepto",Radios Comunitarias
ZPC804,200,"POLITÉCNICA FM - ZPC804 - 87,9MHz",FACULTAD POLITÉCNICA DE LA UNIVERSIDAD NACIONAL DE ASUNCIÓN,"Departamento: Central<br>Localidad: San Lorenzo<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Central,San Lorenzo,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.335278/-57.521389,-25.335278,-57.521389,"SI, Acepto",Radios Comunitarias
ZPC776,220,"PRIMAVERA FM - ZPC776 - 91,9MHz",ASOCIACIÓN DE RADIODIFUSIÓN COMUNITARIA EL SEMBRADOR,"Departamento: Concepción<br>Localidad: Concepción<br>Frecuencia: 91,9MHz<br>P.E.R.: 50W",Concepción,Concepción,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-23.421111/-57.436389,-23.421111,-57.436389,"SI, Acepto",Radios Comunitarias
ZPD841,208,"PROGRESO FM - ZPD841 - 89,5MHz",RADIO COMUNITARIA 101.3 PROGRESO FM,"Departamento: Canindeyu<br>Localidad: Yby Pytá - Curuguaty<br>Frecuencia: 89,5MHz<br>P.E.R.: 50W",Canindeyu,Yby Pytá - Curuguaty,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.414722/-55.391944,-24.414722,-55.391944,"SI, Acepto",Radios Comunitarias
ZPD898,200,"PUEBLO DE RECUERDOS FM - ZPD898 - 87,9MHz",ASOCIACIÓN COMUNITARIA PUEBLO DE RECUERDOS FM,"Departamento: Cordillera<br>Localidad: Caraguatay<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",Cordillera,Caraguatay,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.236944/-56.835,-25.236944,-56.835,"SI, Acepto",Radios Comunitarias
ZPD730,228,"PUERTA DEL CIELO - ZPD730 - 93,5MHz",ASOCIACIÓN RADIO COMUNITARIA PUERTA DEL CIELO,"Departamento: Central<br>Localidad: Capiata<br>Frecuencia: 93,5MHz<br>P.E.R.: 25W",Central,Capiata,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.356389/-57.439444,-25.356389,-57.439444,"SI, Acepto",Radios Comunitarias
ZPD858,244,"PYKASU FM - ZPD858 - 96,7MHz",ASOCIACIÓN RADIO COMUNITARIA PYKASU,"Departamento: Caaguazú<br>Localidad: Caaguazù<br>Frecuencia: 96,7MHz<br>P.E.R.: 50W",Caaguazú,Caaguazù,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.478056/-56.015833,-25.478056,-56.015833,"SI, Acepto",Radios Comunitarias
ZPD642,204,"QUEBRACHO POTY FM - ZPD642 - 88,7MHz",SOCIEDAD SALESIANA DEL PARAGUAY - FILIAL PUERTO CASADO,"Departamento: Alto Paraguay<br>Localidad: Puerto Casado<br>Frecuencia: 88,7MHz<br>P.E.R.: 300W",Alto Paraguay,Puerto Casado,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-22.283333/-57.941667,-22.283333,-57.941667,"SI, Acepto",Radios Comunitarias
ZPD849,212,"RADIO 5 DE MARZO - ZPD849 - 90,3MHz",RADIO COMUNITARIA 5 DE MARZO,"Departamento: Central<br>Localidad: Villeta<br>Frecuencia: 90,3MHz<br>P.E.R.: 25W",Central,Villeta,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-25.506944/-57.566111,-25.506944,-57.566111,"SI, Acepto",Radios Comunitarias
ZPD890,200,"RADIO ACTIVA 10 - ZPD890 - 87,9MHz",CONSEJO GENERAL DE LA RADIOCOMUNITARIA ACTIVA 10,"Departamento: San Pedro<br>Localidad: Capiibary<br>Frecuencia: 87,9MHz<br>P.E.R.: 50W",San Pedro,Capiibary,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.728889/-56.018056,-24.728889,-56.018056,"SI, Acepto",Radios Comunitarias
ZPD846,241,"RADIO ALBORADA - ZPD846 - 96,1MHz",ASOCIACIÓN RADIO ALBORADA DE SAN VICENTE,"Departamento: San Pedro<br>Localidad: Col. San Vicente - Gral.Resquín<br>Frecuencia: 96,1MHz<br>P.E.R.: 50W",San Pedro,Col. San Vicente - Gral.Resquín,CONATEL,http://umap.openstreetmap.fr/en/map/pymc_349107#16/-24.006111/-56.133611,-24.006111,-56.133611,"SI, Acepto",Radios Comunitarias
