ID COMERCIO,EMPRESA,DIRECCION,TELEFONOS,PROPIETARIO,ANTIGÜEDAD,MAYORISTA,MINORISTA,SERVICIOS,TIPO,FAMILIAR?,RUC,LATITUD,LONGITUD,RUBRO
1,ASENCION GENES ,TENIENTE FLORENCIO GOMES Y GENERAL DIAS,0331 242188,MUJER,6,NO,SÍ,NO,MICRO,SÍ,0,-23.40376,-57.44962,ALMACEN DE SUELAS - Accesorios
2,LAIR COSMETICOS,YEGROS CASI OTAÑO,981367200,MUJER,240,NO,SÍ,NO,MICRO,SÍ,1274310-0,-23.40604,-57.44271,COSMETICOS - Distribuidores
3,ROPAS USADAS SONIA MORALES,AV/ BOQUERON. ENTRE ROJAS SILVA,972490512,MUJER,2,NO,SÍ,NO,MICRO,SÍ,0,-23.40246,-57.43169,PRENDAS - Ver. Ropas
4,DEPENSA VACCARI,ITURVE 1196 C/ PAMPLIEGA,331242805,MUJER,240,NO,SÍ,NO,MICRO,SÍ,0,-23.41294,-57.44694,ALMACENES RAMOS GENERALES
5,TALLER ÉCHATE ,NUESTRA SEÑORA DE LA CONCEPCIÓN ,0,HOMBRE,420,NO,NO,SÍ,MICRO,SÍ,0,-23.40734,-57.44874,MOTOCICLETAS - Taller
6,COPETIN ALFA,YEGROS CASI BRASIL,981922534,HOMBRE,36,NO,SÍ,NO,MICRO,SÍ,3698354-3,-23.40627,-57.44275,BARES Y COPETINES
7,GOMERIA CHOPI,AVDA. PINEDO,971808582,HOMBRE,192,NO,NO,SÍ,MICRO,NO,3215537-9,-23.41172,-57.44142,GOMERIAS
8,R.A PRIME,PRESIDENTE FRANCO ESQUINA CERRÓ CORA,242842,HOMBRE,12,SÍ,NO,NO,MICRO,SÍ,7547059-4,-23.40766,-57.44598,CARNE CONSERVADA - Distribuidores
9,COPETIN BYS,AVDA HERIBERTO COLOMBINO ,984825842,HOMBRE,4,NO,NO,SÍ,MICRO,SÍ,0,-23.40988,-57.43349,COMEDORES
10,PELUQUERIA FINO 2,JUAN BAUTISTA ALBERDI,986573040,HOMBRE,2,NO,NO,SÍ,MICRO,SÍ,0,-23.4111,-57.44596,PELUQUERIAS
11,COPETIN RIQUELMEAV.,AV. BOQUERON C TTE SEMIDEI,971631988,MUJER,120,NO,SÍ,NO,MICRO,SÍ,0,-23.40238,-57.43179,ACEITES COMESTIBLES
12,ARAÑA CELL,PRESIDENTE FRANCO C CERRÓ CORA,331240334,HOMBRE,12,NO,SÍ,NO,MICRO,SÍ,3499370-3,-23.40761,-57.44584,CELULAR - Repuestos
13,OGA RENDÁ ,GRAL GARAY C BRASIL ,242907,MUJER,300,NO,SÍ,NO,MICRO,SÍ,6540052,-23.40634,-57.44498,DESPENSAS
14,ARAUJO HERMANOS,MARISCAL LOPEZ Y GENERAL GARAY,3312243344,HOMBRE,480,SÍ,NO,NO,MICRO,SÍ,939433-8,-23.40936,-57.44514,PANIFICADOS - Productos - Ver: Panaderias
15,ELIESER GENES,AVENIDA HERMINIO MENDOZA CASI BARARNCO DEL RIO,0,HOMBRE,360,NO,SÍ,NO,MICRO,SÍ,0,-23.40264,-57.45146,GOMERIAS
16,CASA SAN JOSE,AVENIDA PINEDO,241251,MUJER,15,NO,SÍ,NO,MICRO,SÍ,0,-23.40284,-57.44152,MOTOCICLETAS
17,SERVICAR CENTRO AUTOMOTIVO,YTORORO CASI AVENIDA BOQUERÓN,331243285,HOMBRE,96,NO,SÍ,NO,MICRO,SÍ,3505208-2,-23.40249,-57.44012,BODEGAS
18,BODEGA PUNTO FUERTE,MCAL JOSE FELIZ ESTIGARRIBIA,983904739,MUJER,84,NO,SÍ,NO,MICRO,SÍ,0,-23.40855,-57.44535,IDIOMAS - Centros de Estudios
19,NORTE PUBLICIDAD,AVDA. AGUSTIN FERNANDO DE PINEDO ESQUINA AVDA. ELIGIO AYALA,971437856,HOMBRE,4,SÍ,SÍ,NO,MICRO,NO,2509856-0,-23.41412,-57.44139,BODEGAS
20,FOTO PRINT,AVENIDA PINEDO CASI BRASIL,972508934,HOMBRE,360,NO,SÍ,NO,MICRO,SÍ,0,-23.40646,-57.44158,AGENCIAS DE PUBLICIDAD -
21,GOMERIA Y LAVADERO QUEIROZ CANDIA,QUEIROZ CANDIA C/ BOQUERON,975547450,HOMBRE,1,NO,NO,SÍ,MICRO,SÍ,0,-23.40249,-57.42891,FOTOGRAFIAS
22,DISTRIBUIDORA SAN AGUSTÍN ,MAYOR LORENZO  MEDINA ,0971 390 701,MUJER,120,SÍ,NO,NO,MICRO,SÍ,5110277-3,-23.40832,-57.43216,GOMERIAS
23,COPETIN DON PABLO,HERMINIO MENDOZA ESQUINA GENERAL DIAS,241417,HOMBRE,48,NO,SÍ,NO,MICRO,SÍ,0,-23.40256,-57.44953,HOSPEDAJES
24,ALFARERIA LUCY,AVENIDA PINEDO CASI BRASIL,972411402,MUJER,48,NO,SÍ,NO,MICRO,SÍ,0,-23.40655,-57.44141,ABOGADOS
25,BRUNA FARMA ,DORTOR ROY BERNAL ENTRE SANTOS CANILLAS Y PROFESOR CABRAL,331240319,MUJER,15,NO,SÍ,NO,MICRO,SÍ,389480-0,-23.41009,-57.43802,COMUNICACION SATELITAL - Servicios de
26,COMERCIAL SAMANIEGO,AV ELIGIO AYALA ENTRE CERRO CORA Y GRAL GARAY,331240214,HOMBRE,240,NO,SÍ,NO,MICRO,SÍ,0,-23.41428,-57.44549,COMBUSTIBLES Y DERIVADOS DEL PETROLEO
27,MOTO TALLER ,OTAÑP Y CERRÓ CORA ,982786587,HOMBRE,72,NO,NO,SÍ,MICRO,SÍ,2142352,-23.40607,-57.44599,FARMACIAS
28,ALAVESA DE PINTURAS,BRASIL CASI PINEDO,331240970,HOMBRE,36,NO,SÍ,NO,MICRO,SÍ,1077256-1,-23.40651,-57.44178,ALMACENES RAMOS GENERALES
29,NOVEDADES BIANCA,AVDA. ELIGIO AYALA CASI AVDA. PINEDO,994403784,HOMBRE,24,NO,SÍ,NO,MICRO,SÍ,585006-1,-23.41431,-57.44184,CENTROS MEDICOS
30,GOMERIA LA RUTA ,AVDA CORONEL FRANCO Y HERIBERTO COLOMBINO ,971265098,HOMBRE,15,NO,NO,SÍ,MICRO,NO,0,-23.41339,-57.433,MOTOCICLETAS - Taller
31,COPETIN LA PAPOÑITA ,DON BOSCO C/TTE  SILVIO ROJAS ,0331 240 246,HOMBRE,360,NO,SÍ,NO,MICRO,SÍ,50078253-9,-23.40755,-57.43157,PINTURAS EN AEROSOL
32,FARMA KOKE,DORTOR ROY BERNAL CASI SANTOS CANILLA,331241241,MUJER,24,NO,SÍ,NO,MICRO,SÍ,2421124,-23.4103,-57.43801,PINTURAS PARA MADERA
33,BODEGA Y COPETIN MBURUKUJA,PADRE MARCELINO MEDINA ENTRE EMILIO CÉSAR GAONA,982178203,MUJER,12,NO,SÍ,NO,MICRO,SÍ,0,-23.4032,-57.42998,ROPERIAS
34,DELIRIOS MODA,MCAL JOSE FELIX ESTIGARRIBIA,972137563,MUJER,1,NO,SÍ,NO,MICRO,NO,0,-23.40863,-57.44503,BARES Y COPETINES
35,NOVEDADES LUCAS,AVDA. ELIGIO AYALA ESQUINA AVDA. PINEDO,975256404,HOMBRE,18,NO,SÍ,NO,MICRO,NO,7680174-8,-23.41431,-57.44177,FARMACIAS
36,MANA,DOCTOR MARCIAL ROY Y SANTOS CANILLA,0,MUJER,120,NO,SÍ,NO,MICRO,NO,0,-23.41022,-57.43777,ABOGADOS
37,ER,BRASIL CASI AVENIDA PINEDO,972874914,MUJER,180,NO,SÍ,NO,MICRO,SÍ,2995175-5,-23.40689,-57.44178,ACEITES COMESTIBLES
38,POSADA IDEAL,PEDRO JUAN CABALLERO Y TENIENTE FLORENCIO GOMES,0331- 242565,MUJER,36,NO,SÍ,NO,MICRO,SÍ,730197-9,-23.4033,-57.4481,ARTICULOS DE MERCERIA
39,MAXI LAVADERO ,AVDA HERIBERTO COLOMBINO Y AVDA CORONEL RAFAEL  FRANCO ,982784119,HOMBRE,2,NO,NO,SÍ,MICRO,SÍ,0,-23.41318,-57.43314,CONSULTORAS CONTABLES
40,ANIMAL HOUSE,GENERAL EUGENIO ALEJANDRINO GARAY,971844320,MUJER,36,NO,NO,SÍ,MICRO,NO,0,-23.40891,-57.44501,ELECTRODOMESTICOS
41,SERIGRAFÍA GARRY,BRASIL CASI AVENIDA PINEDO,241316,MUJER,192,NO,SÍ,NO,MICRO,SÍ,693654-7,-23.40668,-57.44193,MOTOCICLETAS - Repuestos y Accesorios
42,AIS,AV ELIGIO AYALA Y 14 DE MAYO,973516804,HOMBRE,20,NO,NO,SÍ,MICRO,NO,0,-23.41396,-57.44476,MUEBLES DEL HOGAR
43,JR REPUESTOS,AVDA. PINEDO ESQUINA RUFINO PAMPLIEGA,971804288,HOMBRE,120,SÍ,SÍ,NO,MICRO,NO,2916020-0,-23.41312,-57.44142,LAVADEROS DE AUTOVEHICULOS - Productos para
44,DESPENSA LA GOLONDRINA ,DON BOSCO C/TTE SILVIO ROJAS ,0331 242824,MUJER,0,NO,SÍ,NO,MICRO,SÍ,0,-23.40738,-57.43129,CLINICAS VETERINARIAS - Ver: Veterinarias
45,COPETIN CECI,AV. BOQUERON C/ QUEIROZ CANDIA,976989087,MUJER,5,NO,SÍ,NO,MICRO,SÍ,0,-23.40243,-57.43055,"CONTABILIDAD, Estudios - Ver: Estudios Contables"
46,NANAWA,NUESTRA SEÑORA DE CONCENCION CASI HERMINIO MENDOZA,0,HOMBRE,264,NO,SÍ,NO,MICRO,SÍ,0,-23.40295,-57.44903,IMPRESIONES EN GENERAL - Ver: Imprentas - Serigrafia
47,ADACELL,AVDA PINEDO ,994495004,MUJER,8,NO,SÍ,NO,MICRO,NO,5971746-7,-23.41277,-57.44141,AUTOMOTORES - Talleres Mecanicos
48,PISCINA Y CIA,BRASIL CASI AVENIDA PINEDO,241692,HOMBRE,8,NO,SÍ,NO,MICRO,SÍ,4007120-0,-23.40668,-57.44218,FERRETERIAS DE LA CONSTRUCCION
49,IVAN REPUESTOS ,AVDA HERIBERTO COLOMBINO Y CORONEL RAFAEL FRANCO ,331240974,ORGANIZACION,10,NO,SÍ,NO,MICRO,NO,80064538-3,-23.412,-57.43308,AUTOMOTORES - Repuestos y Accesorios
50,ORGANIZACIÓN TRÉBOL ,PRESIDE FRANCO 406 C GRAL GARAY ,331243061,HOMBRE,240,NO,NO,SÍ,MICRO,SÍ,258940-0,-23.40763,-57.44523,AUTOMOTORES - Talleres Mecanicos
51,DESPENSA JM ,DÓN BOSCO Y TTE SEMIDEI ,033 1241394,MUJER,84,NO,SÍ,NO,MICRO,SÍ,0,-23.40743,-57.43221,DESPENSAS
52,VENTAS DE ROPAS NANAWA,NUESTRA SEÑORA DE CONCEPCIÓN HERMINO MENDOZA,985867341,MUJER,240,NO,SÍ,NO,MICRO,SÍ,0,-23.40304,-57.449,FUNERARIAS
53,UNICELL,PRESIDENTE FRANCO C GRAL GARAY,971663118,HOMBRE,168,NO,NO,SÍ,MICRO,NO,2175130-6,-23.40761,-57.44525,GOMERIAS
54,PUNTO CLAVE,AVDA. PINEDO ,331240558,MUJER,72,NO,SÍ,NO,MICRO,NO,288858-0,-23.41262,-57.44143,FOTOCOPIAS
55,CYM,PRESIDENTE FRANCO C GRAL GARAY ,971821203,MUJER,144,NO,NO,SÍ,MICRO,SÍ,2869823-1,-23.40761,-57.44525,REPUESTOS INDUSTRIALES
56,TALLER DE MOTOS  DIVITO,AVDA HERIBERTO COLOMBINO  Y AVDA CORONEL RAFAEL FRANCO ,976867128,HOMBRE,8,NO,NO,SÍ,MICRO,NO,0,-23.41185,-57.43306,ENCOMIENDAS - Servicios
57,TUSITIO.CLIP,BRASIL CASI YEGROS,984307523,HOMBRE,48,NO,NO,SÍ,MICRO,SÍ,2889652-1,-23.40692,-57.44218,DESPENSAS
58,JONIS,NUESTRA SEÑORA DE LA CONCEPCION CASI HERMINIO MENDOZA,0331- 240493,MUJER,36,NO,SÍ,NO,MICRO,SÍ,0,-23.40323,-57.44916,PRENDAS - Ver. Ropas
59,NOVEDADES LYG,PRESIDENTE FRANCO C GRAL GARAY,984725893,MUJER,5,NO,NO,SÍ,MICRO,NO,0,-23.40764,-57.44532,CELULAR - Reparaciones
60,CONFECCIONES MIMA,MARCELINO MEDINA /TTE ROJAS,983501382,MUJER,180,NO,SÍ,NO,MICRO,SÍ,0,-23.40298,-57.43112,ROPERIAS
61,ROSSY SALON DE BELLEZA,BRASIL CASI YEGROS,985509278,MUJER,60,NO,SÍ,NO,MICRO,SÍ,2964689-8,-23.40689,-57.44235,CELULAR - Reparaciones
62,HOTEL AL PASO ,AVDA HERIBERTO COLOMBINO Y AVDA RAFAEL FRANCO ,331240981,HOMBRE,7,NO,NO,SÍ,MICRO,SÍ,0,-23.4117,-57.43315,GOMERIAS - Equipamientos
