"id","title","description","fantasy","business_name","contact","phone","lat","lon","address","category","source","link","agreement","ODS"
"1","ALMACEN DE SUELAS - Accesorios","MICRO","ASENCION GENES","ASENCION GENES","MUJER","0331 242188","-23.40376","-57.44962","TENIENTE FLORENCIO GOMES Y GENERAL DIAS","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"2","COSMETICOS - Distribuidores","MICRO","LAIR COSMETICOS","LAIR COSMETICOS","MUJER","981367200","-23.40604","-57.44271","YEGROS CASI OTAÑO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"3","PRENDAS - Ver. Ropas","MICRO","ROPAS USADAS SONIA MORALES","ROPAS USADAS SONIA MORALES","MUJER","972490512","-23.40246","-57.43169","AV/ BOQUERON. ENTRE ROJAS SILVA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"4","ALMACENES RAMOS GENERALES","MICRO","DEPENSA VACCARI","DEPENSA VACCARI","MUJER","331242805","-23.41294","-57.44694","ITURVE 1196 C/ PAMPLIEGA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"5","MOTOCICLETAS - Taller","MICRO","TALLER ÉCHATE","TALLER ÉCHATE","HOMBRE","0","-23.40734","-57.44874","NUESTRA SEÑORA DE LA CONCEPCIÓN","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"6","BARES Y COPETINES","MICRO","COPETIN ALFA","COPETIN ALFA","HOMBRE","981922534","-23.40627","-57.44275","YEGROS CASI BRASIL","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"7","GOMERIAS","MICRO","GOMERIA CHOPI","GOMERIA CHOPI","HOMBRE","971808582","-23.41172","-57.44142","AVDA. PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"8","CARNE CONSERVADA - Distribuidores","MICRO","R.A PRIME","R.A PRIME","HOMBRE","242842","-23.40766","-57.44598","PRESIDENTE FRANCO ESQUINA CERRÓ CORA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"9","COMEDORES","MICRO","COPETIN BYS","COPETIN BYS","HOMBRE","984825842","-23.40988","-57.43349","AVDA HERIBERTO COLOMBINO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"10","PELUQUERIAS","MICRO","PELUQUERIA FINO 2","PELUQUERIA FINO 2","HOMBRE","986573040","-23.4111","-57.44596","JUAN BAUTISTA ALBERDI","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"11","ACEITES COMESTIBLES","MICRO","COPETIN RIQUELMEAV.","COPETIN RIQUELMEAV.","MUJER","971631988","-23.40238","-57.43179","AV. BOQUERON C TTE SEMIDEI","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"12","CELULAR - Repuestos","MICRO","ARAÑA CELL","ARAÑA CELL","HOMBRE","331240334","-23.40761","-57.44584","PRESIDENTE FRANCO C CERRÓ CORA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"13","DESPENSAS","MICRO","OGA RENDÁ","OGA RENDÁ","MUJER","242907","-23.40634","-57.44498","GRAL GARAY C BRASIL","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"14","PANIFICADOS - Productos - Ver: Panaderias","MICRO","ARAUJO HERMANOS","ARAUJO HERMANOS","HOMBRE","3312243344","-23.40936","-57.44514","MARISCAL LOPEZ Y GENERAL GARAY","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"15","GOMERIAS","MICRO","ELIESER GENES","ELIESER GENES","HOMBRE","0","-23.40264","-57.45146","AVENIDA HERMINIO MENDOZA CASI BARARNCO DEL RIO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"16","MOTOCICLETAS","MICRO","CASA SAN JOSE","CASA SAN JOSE","MUJER","241251","-23.40284","-57.44152","AVENIDA PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"17","BODEGAS","MICRO","SERVICAR CENTRO AUTOMOTIVO","SERVICAR CENTRO AUTOMOTIVO","HOMBRE","331243285","-23.40249","-57.44012","YTORORO CASI AVENIDA BOQUERÓN","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"18","IDIOMAS - Centros de Estudios","MICRO","BODEGA PUNTO FUERTE","BODEGA PUNTO FUERTE","MUJER","983904739","-23.40855","-57.44535","MCAL JOSE FELIZ ESTIGARRIBIA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"19","BODEGAS","MICRO","NORTE PUBLICIDAD","NORTE PUBLICIDAD","HOMBRE","971437856","-23.41412","-57.44139","AVDA. AGUSTIN FERNANDO DE PINEDO ESQUINA AVDA. ELIGIO AYALA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"20","AGENCIAS DE PUBLICIDAD -","MICRO","FOTO PRINT","FOTO PRINT","HOMBRE","972508934","-23.40646","-57.44158","AVENIDA PINEDO CASI BRASIL","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"21","FOTOGRAFIAS","MICRO","GOMERIA Y LAVADERO QUEIROZ CANDIA","GOMERIA Y LAVADERO QUEIROZ CANDIA","HOMBRE","975547450","-23.40249","-57.42891","QUEIROZ CANDIA C/ BOQUERON","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"22","GOMERIAS","MICRO","DISTRIBUIDORA SAN AGUSTÍN","DISTRIBUIDORA SAN AGUSTÍN","MUJER","0971 390 701","-23.40832","-57.43216","MAYOR LORENZO MEDINA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"23","HOSPEDAJES","MICRO","COPETIN DON PABLO","COPETIN DON PABLO","HOMBRE","241417","-23.40256","-57.44953","HERMINIO MENDOZA ESQUINA GENERAL DIAS","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"24","ABOGADOS","MICRO","ALFARERIA LUCY","ALFARERIA LUCY","MUJER","972411402","-23.40655","-57.44141","AVENIDA PINEDO CASI BRASIL","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"25","COMUNICACION SATELITAL - Servicios de","MICRO","BRUNA FARMA","BRUNA FARMA","MUJER","331240319","-23.41009","-57.43802","DORTOR ROY BERNAL ENTRE SANTOS CANILLAS Y PROFESOR CABRAL","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"26","COMBUSTIBLES Y DERIVADOS DEL PETROLEO","MICRO","COMERCIAL SAMANIEGO","COMERCIAL SAMANIEGO","HOMBRE","331240214","-23.41428","-57.44549","AV ELIGIO AYALA ENTRE CERRO CORA Y GRAL GARAY","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"27","FARMACIAS","MICRO","MOTO TALLER","MOTO TALLER","HOMBRE","982786587","-23.40607","-57.44599","OTAÑP Y CERRÓ CORA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"28","ALMACENES RAMOS GENERALES","MICRO","ALAVESA DE PINTURAS","ALAVESA DE PINTURAS","HOMBRE","331240970","-23.40651","-57.44178","BRASIL CASI PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"29","CENTROS MEDICOS","MICRO","NOVEDADES BIANCA","NOVEDADES BIANCA","HOMBRE","994403784","-23.41431","-57.44184","AVDA. ELIGIO AYALA CASI AVDA. PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"30","MOTOCICLETAS - Taller","MICRO","GOMERIA LA RUTA","GOMERIA LA RUTA","HOMBRE","971265098","-23.41339","-57.433","AVDA CORONEL FRANCO Y HERIBERTO COLOMBINO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"31","PINTURAS EN AEROSOL","MICRO","COPETIN LA PAPOÑITA","COPETIN LA PAPOÑITA","HOMBRE","0331 240 246","-23.40755","-57.43157","DON BOSCO C/TTE SILVIO ROJAS","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"32","PINTURAS PARA MADERA","MICRO","FARMA KOKE","FARMA KOKE","MUJER","331241241","-23.4103","-57.43801","DORTOR ROY BERNAL CASI SANTOS CANILLA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"33","ROPERIAS","MICRO","BODEGA Y COPETIN MBURUKUJA","BODEGA Y COPETIN MBURUKUJA","MUJER","982178203","-23.4032","-57.42998","PADRE MARCELINO MEDINA ENTRE EMILIO CÉSAR GAONA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"34","BARES Y COPETINES","MICRO","DELIRIOS MODA","DELIRIOS MODA","MUJER","972137563","-23.40863","-57.44503","MCAL JOSE FELIX ESTIGARRIBIA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
