ID COMERCIO,EMPRESA,DIRECCION,TELEFONOS,PROPIETARIO,ANTIGÜEDAD,MAYORISTA,MINORISTA,SERVICIOS,TIPO,FAMILIAR?,RUC,LATITUD,LONGITUD,RUBRO
695,RUTA 3,AVENIDA GRAL BERNARDINO CABALLERO Y DR SANTOS CANILLAS ,120,HOMBRE,120,NO,NO,SÍ,MEDIANA,SÍ,0,-23.40945,.57.43743,PRENDAS - Ver. Ropas
696,EL PESCADOR,MONSEÑOR BENIGNO LASCHI CASI IRIGOYEN,971892337,HOMBRE,120,NO,SÍ,NO,MICRO,SÍ,0,-23.41997,-57.44265,DIARIOS - Agencias
697,DESPENSA 13 DE JUNIO,INTENDENTE CABRAL Y MONSEÑOR LASCHI GONZALEZ,0331 240 036,MUJER,360,NO,SÍ,NO,MICRO,SÍ,0,-23.41997,-57.44265,FARMACIAS
698,COMPRA Y VENTA DE PESCADO,WALDIMIRO KOMPONIETZ C/ ALFREDO BERNAL,0,HOMBRE,12,NO,SÍ,NO,MICRO,SÍ,0,-23.41997,-57.44247,AUTOSERVICES
699,PESCADERIA VELAZQUEZ,MONSEÑOR LASCHI CASI IRIGOYEN,0,HOMBRE,0,NO,SÍ,NO,MICRO,SÍ,0,-23.41997,-57.44265,ROPA INTERIOR - Ventas
700,CRD ,TTE. JOSÉ CEFERINO GÓMEZ Y 2 DE MAYO,976813087,MUJER,60,SÍ,NO,NO,MICRO,SÍ,0,-27.39305,-57.44276,PRENDAS - Ver. Ropas
701,VICTOR HUGO ,ANDRÉS MIANICOFF ,971414109,MUJER,240,NO,SÍ,NO,MICRO,SÍ,0,-23.39331,-57.4439,BARES Y COPETINES
702,POMBERO TATAKUA,YEGROS C/ AVDA HERMINIO MENDOZA,0983415911 - 0983620305,HOMBRE,36,NO,NO,SÍ,MICRO,NO,2456483-4,-23.402854,-57.442602,COMIDAS - Servicios de - Ver: Servicios de Comida
703,SNOOPY MODA INFANTIL,AVDA BERNARDINO CABALLERO 510,331241857,MUJER,28,NO,SÍ,NO,MICRO,NO,2522586-3,-23.409500,-57.436216,TAPICERIAS EN CUERO
704,LA MAGA,TTE. FLORENCIO GOMEZ CASI 14 DE MAYO,0,MUJER,96,NO,SÍ,NO,MICRO,SÍ,2357715-0,-23.403608,-57.443831,OPTICAS
705,DESPENSA THIAGO,AVDA. BERNARDINO CABALLERO 524,984488289,MUJER,108,NO,SÍ,NO,MICRO,NO,0,-23.409500,-57.435883,JOYERIAS
