ID,Institución,Título de la Iniciativa,Descripción,Latitud,Longitud,Imagen (Dirección URL),Teléfono de Contacto,Email,Link,Persona a Cargo,Departamento,Localidad,Fuente,Link a la Fuente,Acuerdo de Consentimiento
,BANCO NACIONAL DE FOMENTO,Banco Nacional de Fomento - Casa Matriz,"PRESTAMOS PARA CAPITAL OPERATIVO PRESTAMOS SECTOR ARTESANAL LINEA DE CRÉDITO PARA FORESTACIÓN CON FINES COMERCIALES – FONDOS AFD LINEA DE CRÉDITOS PARA PRODUCTORES PECUARIOS AFECTADOS POR LOS INCENDIOS FORESTALES PRÉSTAMOS PARA INVERSIONES PROPYMES - AFD PROYECTOS DE INVERSIÓN – SECTORES PRODUCTIVOS PRESTAMOS SISTEMAS DE REGADIO – AFD PRÉSTAMOS PARA INVERSIONES - PARA EMPRESAS EXPORTADORAS PRÉSTAMOS PARA MAQUINARIAS ""Ñamba'apo pohýi hag̃uã"" LINEA DE CREDITO PARA MICROEMPRESAS LINEA DE CREDITO MICROEMPRESA - SECTOR CONFECCIONES LINEA DE CRÉDITO PARA ESTUDIOS SUPERIORES EN EL EXTERIOR PRÉSTAMOS PERSONALES CON TARJETA DE DÉBITO BNF PRÉSTAMOS PERSONALES SIN TARJETA DE DÉBITO BNF LÍNEA DE CRÉDITO PARA COMPRA DE VEHÍCULO OK PARA LA GENTE PRÉSTAMO PARA LA VIVIENDA ""Mi Primera Vivienda AFD"" PRÉSTAMO PARA LA VIVIENDA Mi Vivienda AFD"" PRÉSTAMO PARA LA VIVIENDA ""Fondos Propios"" PRÉSTAMO PARA LA VIVIENDA ""Ñande Roga Pyahura"" PEQUEÑO PRODUCTOR – ÑANDE CHOKOKUÉ PEGUARA LÍNEA DE CRÉDITO ""Kuña Katupyry"" PRÉSTAMOS PARA MICROEMPRENDEDORES DE MERCADOS MUNICIPALES Empresas de Ciudades Fronterizas - Capital Operativo - Emergencia Sanitaria COVID-19 Medianas, Intermedias y Grandes Empresas - Capital Operativo - Emergencia Sanitaria COVID-19 Microempresas y Pequeñas Empresas - Capital Operativo - Emergencia Sanitaria COVID-19 Profesionales Independientes y Cuentapropistas - Capital Operativo - Emergencia Sanitaria COVID-19 Cuenta Corriente en Guaraníes Cuenta Corriente en Dólares Caja de Ahorro en Guaraníes Caja de Ahorro en Dólares Caja de Ahorro en Euros Caja de Ahorro - Cuenta Básica Certificado de Depósito de Ahorro en Dólares Certificado de Depósito de Ahorro en Guaranies Tarjeta de Débitos Tarjetas de Créditos Negocios Fiduciarios",-25.2848446,-57.6351115,,021 419 3000,correo@bnf.gov.py,https://www.bnf.gov.py/archivos/Prestamos/Para_Capital_Operativo/5.1.1_CAPITAL_OPERATIVO_-_PERSONAS_JURIDICAS.pdf?time=1565375012696,Gerencia de Banca de Empresas,Central,Asunción,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.344453,-57.5099526,,021-585 004 / 021-582 207 Fax:021-586 345,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,San Lorenzo,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.2372917,-57.5690269,,,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,CAC San Francisco,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.5099865,-57.3638661,,,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,CAC Itá,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.2383228,-57.5696324,,021-752498,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Mariano R. Alonso,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.2892635,-57.655041,,021-373 593 / 021-374 668,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Sajonia,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.3937597,-57.3539451,,0294-220 524 Fax: 0294-221788,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Itauguá,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.2879359,-57.6136784,,021-224 486 Linea Alta: 021-2172482,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Ande,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.3254519,-57.5703107,,021-501 926,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Mercado de Abasto,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.2975927,-57.6376976,,021-212 147 Fax: 021-223282,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Mercado N° 4,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
