"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description","Título de la necesidad",Descripción,"Categorías relacionadas"
,,,,,,,,,,,,,
66,"Necesidad con intermediación",archived,"2020-03-20 13:34:08","2020-03-21 05:02:48","2020-03-20 13:31:19",,,,,,"medicación para mascotas","necesitamos gente que pueda ir al veterinario a por medicación para mascota y llevarla a domicilio de persona mayor",Otros
68,"Necesidad con intermediación",published,"2020-03-20 13:38:07","2020-03-20 17:07:23","2020-03-20 13:38:07",,,,,,"Ayuda para todas las personas que por cualquier circunstancia no puedan salir de casa","Un grupo de voluntarios, vinculados a Alaquàs Debat, prestamos ayuda en colaboración con el Ayuntamiento de Alaquàs","Alimentación,Higiene,Atención/Cuidados,Salud"
109,"Necesidad con intermediación",published,"2020-03-20 15:26:59","2020-03-20 17:59:57","2020-03-20 15:24:58",,,,,,"GRUPO DE TELEGRAM PARA APOYO MUTUO","Grupo de apoyo mutuo Pobla de Sieru, necesitarán tener instalado instagram
https://t.me/joinchat/AN01ZxxGl_p8kIJVsy7Vew","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle"
299,"Necesidad con intermediación",archived,"2020-03-20 21:13:12","2020-03-23 08:24:01","2020-03-20 21:10:38",,,,,,alimentos,"Alimentos básicos no perecederos. Contacto Fundación Escuela contra la pobreza, Victor Mar_in55@hotmail.com www.escuelacontralapobreza.org",Alimentación
301,"Necesidad con intermediación",archived,"2020-03-20 21:37:05","2020-03-23 08:24:05","2020-03-20 21:34:23",,,,,,alimentos,"Alimentos no perecederos. Contacto Victor www.escuelacontralapobreza.org",Alimentación
316,"Necesidad con intermediación",archived,"2020-03-21 00:58:48","2020-03-23 08:24:09","2020-03-21 00:57:16",,,,,,alimentos,"Alimentos no perecederos. Contactar con Victor. 
www.escuelacontralapobreza.org",Alimentación
325,"Necesidad con intermediación",published,"2020-03-21 08:01:00","2020-03-21 08:19:51","2020-03-21 07:51:19",,,,,,"Soluciones TIC para ceder internet y dispositivos a familias en situación de exclusión social","Estamos buscando soluciones de telecomunicaciones para poder ceder internet y dispositivos a familias en situación de exclusión social en Cabanyal y Malva-rosa para que sus hijos e hijas puedan seguir con el curso escolar desde casa",Otros
329,"Necesidad con intermediación",archived,"2020-03-21 08:13:30","2020-03-25 15:36:19","2020-03-21 08:10:26",,,,,,"Hacerme la compra","Estoy de baja por corona virus y no puedo salir a comprar y necesito quw alguidn me haga la compra semanal y de farmacia","Alimentación,Salud"
345,"Necesidad con intermediación",published,"2020-03-21 10:18:05","2020-03-21 11:20:27","2020-03-21 10:12:29",,,,,,"Ayuntamiento necesita: Trabaj.Sociales, educadorxs, psics, animadorxs socioculturales...","El ayuntamiento necesita contrataciones urgentes de distintos perfiles sociales, TS educadorxs, psics, animadorxs socioculturales,... para trabajar en el nuevo albergue/hogar para personas indomiciliadas q está en el centro integrado, junto al puente Condesa Eylo. Serán contratadxs por Clece con carácter urgente. Por si sabes de alguien a quien le pueda interesar o si lo puedes compartir con la gente que conozcas del sector y me mandas nombre, teléfono y correo.
Clece Valladolid","Atención/Cuidados,Salud,Ayuda Psicológica"
347,"Necesidad con intermediación",published,"2020-03-21 10:29:49","2020-03-21 11:19:41","2020-03-21 10:22:32",,,,,,"Casa Beneficiencia necesita Auxiliares de enfermería, personal de limpieza y enfermeros","Para contratar de forma urgente:
25 auxiliares de enfermería en horario de mañana, tarde y noche. 
9 personas para tareas de limpieza en horario de mañana y tarde.
3 enfermera/os en horario de mañana, tarde y noche.
*6 días de trabajo y 2 de descanso en cada turno.
Contactar con via email.","Atención/Cuidados,Acompañamiento en la calle,Salud"
527,"Necesidad con intermediación",published,"2020-03-21 18:32:36","2020-03-21 18:51:50","2020-03-21 18:30:02",,,,,,"Ayuda para hacer la compra a persona mayor con problemas de corazón y respiratorios","Mi madre es una persona con necesidad de que le ayuden en la compra de productos alimentarios. Tiene problemas de corazón y pulmones y no siempre encuentro quien la ayude. Me encuentro desplazado en la otra punta de España. Muchisimas gracias de antemano",Alimentación
594,"Necesidad con intermediación",published,"2020-03-22 06:24:32","2020-03-22 06:24:56","2020-03-22 06:21:37",,,,,,"Junta CyL busca voluntarios para cuidado de personas mayores y con discapacidad","Llamamiento urgente a voluntarios para cuidar a personas mayores y con discapacidad por parte de la Junta de Castilla y León. Si tienes experiencia en el cuidado y atención de personas mayores o con discapacidad y puedes colaborar voluntariamente en los trabajos de asistencia motivados por el COVID-19, escríbenos este correo dgmaydis@jcyl.es y háblanos de tu experiencia, especialidad y disponibilidad.",Atención/Cuidados
595,"Necesidad con intermediación",published,"2020-03-22 07:34:14","2020-03-22 07:53:33","2020-03-22 07:29:06",,,,,,"Red Wifi Solidaria","Compartir Wifi con el alumnado que lo necesite.",Otros
