"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description",Título,Descripción,"Ubicación aproximada.lat","Ubicación aproximada.lon","Categorías relacionadas","Forma de contacto con el centro"
,,,,,,,,,,,,,,,,
8,"Servicio público disponible",draft,"2020-03-18 20:26:24","2020-03-20 14:32:59","2020-03-18 20:25:30",,,,,,"OpenCor Express","Supermercado general con horario de 08h a 20h",40.42692,-3.667191,"Alimentación,Higiene,Otros",
22,"Servicio público disponible",published,"2020-03-20 10:12:04","2020-03-20 10:15:38","2020-03-20 10:00:04",,,,,,"Reparto de la compra de alimentos en Soria","Empresa Social que se encarga de la compra de alimentos en Soria",41.764409,-2.478795,Alimentación,info@laexclusiva.org
27,"Servicio público disponible",published,"2020-03-20 10:30:16","2020-03-20 10:32:15","2020-03-20 10:25:03",,,,,,"Corona Madrid. Aplicación de autoevaluación del coronavirus.","Evalúa tu salud si sientes que tienes síntomas y recibe instrucciones y recomendaciones sobre el COVID-19 https://www.coronamadrid.com/",40.416486,-3.702971,Salud,contacto@coronamadrid.com
31,"Servicio público disponible",published,"2020-03-20 10:57:30","2020-03-20 11:07:38","2020-03-20 10:42:34",,,,,,"Cabify lleva un médico","Cabify dispone de un servicio de vehículo para sanitarios en sus desplazamientos a domicilios de personas que lo necesitan
https://actua.frenalacurva.net/t/cabify-lleva-un-medico/2085",40.524832,-3.771563,Atención/Cuidados,
32,"Servicio público disponible",published,"2020-03-20 11:01:42","2020-03-20 12:24:29","2020-03-20 10:58:22",,,,,,"Teléfonos de emergencia consular","Si eres español y te encuentras en el extranjero tiene usted una emergencia en el exterior (o conoce a alguna persona que se encuentra en dicha situación) y quiere informarse de como regresar a España y necesita asistencia puede contactarnos durante las 24 horas
https://actua.frenalacurva.net/t/telefonos-de-emergencia-consular/2011",40.470458,-3.670505,Otros,"913 79 97 00"
33,"Servicio público disponible",published,"2020-03-20 11:08:49","2020-03-20 11:15:37","2020-03-20 11:06:43",,,,,,"Zaragoza Ayuda","Aplicación para facilitar la ayuda para la ciudadanía de Zaragoza
https://actua.frenalacurva.net/t/zaragoza-ayuda-zaragoza/2061",41.655811,-0.876606,Atención/Cuidados,
34,"Servicio público disponible",published,"2020-03-20 11:15:00","2020-03-20 12:34:23","2020-03-20 11:12:58",,,,,,"Servicio de Voluntariado en Huesca","Fundación Cruz Blanca busca #voluntariado contra el #Coronavirus.
Mediante atención telefónica en el #CentrodeEscucha
Realizando servicio a domicilio
Apoyando a personas #sinhogar
https://actua.frenalacurva.net/t/voluntariado-en-huesca-con-fundacion-cruz-blanca/1875",42.128005,-0.403125,Atención/Cuidados,voluntariado-aragon@cruzblanca.org
35,"Servicio público disponible",published,"2020-03-20 11:15:32","2020-03-20 11:19:22","2020-03-20 11:06:55",,,,,,"Médicos frente al COVID_descongestionar el servicio sanitario",https://www.medicosfrentealcovid.org/,37.374596,-5.995614,"Atención/Cuidados,Salud","soporte@dkvservicios.com   93 009 89 61"
37,"Servicio público disponible",published,"2020-03-20 11:20:07","2020-03-20 14:30:02","2020-03-20 11:17:08",,,,,,"Galicia. Organizaciones de apoyo","Listado de organizaciones de Galicia para ayudas
https://actua.frenalacurva.net/t/galicia-grupos-digitales-y-contactos-de-organizacion-de-apoyo/1431",42.874492,-8.554539,Otros,
39,"Servicio público disponible",published,"2020-03-20 11:38:53","2020-03-20 12:00:52","2020-03-20 11:24:41",,,,,,"Escuela Activa Fundación Piquer","El programa Escuela Activa, es un proyecto de innovación educativa desarrollado por Fundación Piquer y apoyado por Dirección General de Familias del Gobierno de Aragón , facilita herramientas y recursos (de modo gratuito) con el objetivo de mejorar y alcanzar el éxito educativo de los menores , a través del trabajo con sus familias .
https://actua.frenalacurva.net/t/escuela-activa-de-la-fundacion-piquer-aragon/1582",41.64316,-0.892652,Otros,info@grupopiquer.com
42,"Servicio público disponible",published,"2020-03-20 11:51:50","2020-03-20 12:02:28","2020-03-20 11:43:51",,,,,,"Recursos educativos en línea INTEF","Desde el INTEF, unidad del Ministerio de Educación y Formación Profesional, se ha diseñado este sitio web “Recursos para el aprendizaje en línea” , con el objetivo de ofrecer al profesorado, a las familias y al alumnado información sobre diferentes tipos de recursos (materiales, cursos de formación, plataformas, herramientas, etc.) que están a su disposición para ser utlizados en línea.
https://actua.frenalacurva.net/t/recursos-educativos-en-linea-intef/410",40.452939,-3.660604,Otros,"910 837 937"
52,"Servicio público disponible",published,"2020-03-20 12:22:31","2020-03-20 13:03:39","2020-03-20 12:06:23",,,,,,"Telas para mascarillas para la cárcel de Zuera","La plataforma Enlazados se mueve para conseguir tela de algodón para hacer mascarillas, para todas las personas internas en la cárcel de Zuera.",41.865909,-0.788638,Atención/Cuidados,info@caritas-zaragoza.es
60,"Servicio público disponible",archived,"2020-03-20 13:16:14","2020-03-20 16:21:14","2020-03-20 13:12:29",,,,,,"Pantallas 3D Instrucciones de producción y entrega en Aragón","El grupo Aramakers3D (CV_19_FAB Aragón) ha creado un modelo práctico y efectivo que se puede enviar al Gobiero de Aragón paar distribuir en los lugares que sea más necesario.
https://actua.frenalacurva.net/t/pantallas-3d-instrucciones-de-produccion-y-enttrga-en-aragon/2280",41.378729,-0.763937,"Maker (Impresión 3D / Mascarillas)",coronamakersaragon@gmail.com
