NAME,PUNTO GPS
OLLA POPULAR MBOCAYATY,"https://www.google.com/maps/place/25%C2%B015'46.6%22S+57%C2%B035'57.3%22W/@-25.2629351,-57.6014487,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26294!4d-57.59926?hl=es"
OLLA POPULAR KUÑA MBARETE,"https://www.google.com/maps/place/25%C2%B015'47.8%22S+57%C2%B035'58.1%22W/@-25.2632751,-57.6016587,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26328!4d-57.59947?hl=es"
OLLA POPULAR SANDER,"https://www.google.com/maps/place/25%C2%B015'50.0%22S+57%C2%B036'01.9%22W/@-25.2638851,-57.6027287,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26389!4d-57.60054?hl=es"
OLLA POPULAR MITÃ RÓGA,"https://www.google.com/maps/place/25%C2%B015'42.4%22S+57%C2%B035'58.6%22W/@-25.2617751,-57.6017987,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26178!4d-57.59961?hl=es"
OLLA POPULAR LAGUNA PYTÃ,"https://www.google.com/maps/place/25%C2%B015'41.5%22S+57%C2%B035'54.9%22W/@-25.2615151,-57.6007587,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26152!4d-57.59857?hl=es"
OLLA POPULAR SAN FRANCISCO,"https://www.google.com/maps/place/25%C2%B015'56.4%22S+57%C2%B036'12.5%22W/@-25.2656651,-57.6056687,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.26567!4d-57.60348?hl=es"
OLLA POPULAR SAN AGUSTIN,"https://www.google.com/maps/place/25%C2%B016'07.6%22S+57%C2%B036'23.7%22W/@-25.2687793,-57.6087642,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2687793!4d-57.6065755?hl=es"
OLLA POPULAR SAN MIGUEL GUERRERO I,"https://www.google.com/maps/place/25%C2%B015'53.3%22S+57%C2%B038'03.3%22W/@-25.2647938,-57.6364357,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2647938!4d-57.634247?hl=es"
OLLA POPULAR SAN MIGUEL GUERRERO II,"https://www.google.com/maps/place/25%C2%B015'42.1%22S+57%C2%B037'57.2%22W/@-25.2616891,-57.6347451,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2616891!4d-57.6325564?hl=es"
OLLA POPULAR SAN MIGUEL GUERRERO III,"https://www.google.com/maps/place/25%C2%B015'43.2%22S+57%C2%B038'01.1%22W/@-25.2620079,-57.6358151,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2620079!4d-57.6336264?hl=es"
OLLA POPULAR COMISION VECINAL CAACUPEMI,"https://www.google.com/maps/place/25%C2%B015'30.6%22S+57%C2%B036'39.2%22W/@-25.2584873,-57.6130742,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.2584873!4d-57.6108855?hl=es"
OLLA POPULAR ESCUELA BÁSICA 6038 PRIV.SUBV.CAACUPEMI DE FE Y ALEGRIA. TAMBIEN ENTREGAN KIT DE ALIMENTOS,"https://www.google.com/maps/place/25%C2%B015'23.2%22S+57%C2%B036'45.3%22W/@-25.2566626,-57.6126649,18.25z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2564536!4d-57.6125798?hl=es"
OLLA POPULAR CAACUPEMI II,"https://www.google.com/maps/place/25%C2%B015'38.5%22S+57%C2%B036'33.6%22W/@-25.2611664,-57.6134264,16.25z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2607!4d-57.6093339?hl=es"
OLLA POPULAR ASOCIACION DE RECICLADORES,"https://www.google.com/maps/place/25%C2%B015'54.2%22S+57%C2%B036'25.4%22W/@-25.265041,-57.6092408,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.265041!4d-57.6070521?hl=es"
OLLA POPULAR JESUS MISERICORDIOSO,"https://www.google.com/maps/place/25%C2%B015'56.7%22S+57%C2%B036'20.9%22W/@-25.265749,-57.6079903,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d-25.265749!4d-57.6058016?hl=es"
OLLA POPULAR JAGUATA OLLA,"https://www.google.com/maps/place/25%C2%B015'58.7%22S+57%C2%B036'22.7%22W/@-25.2663335,-57.6087696,16.75z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2662942!4d-57.6063099?hl=es"
OLLA POPULAR LA ESPERANZA,"https://www.google.com/maps/place/25%C2%B015'59.2%22S+57%C2%B036'18.0%22W/@-25.2662808,-57.6076744,16.75z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2664427!4d-57.6050066?hl=es"
OLLA POPULAR COMISION VECINAL SANTA CRUZ,"https://www.google.com/maps/place/25%C2%B016'01.9%22S+57%C2%B036'15.9%22W/@-25.2671816,-57.6066146,17z/data=!4m5!3m4!1s0x0:0x0!8m2!3d-25.2671816!4d-57.604428?hl=es"
