id,title,description,fantasy,business_name,contact,phone,lat,lon,address,category,source,link,agreement,ODS
695,PRENDAS - Ver. Ropas,MEDIANA,RUTA 3,RUTA 3,HOMBRE,120,-23.40945,-57.43743,AVENIDA GRAL BERNARDINO CABALLERO Y DR SANTOS CANILLAS,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
696,DIARIOS - Agencias,MICRO,EL PESCADOR,EL PESCADOR,HOMBRE,971892337,-23.41997,-57.44265,MONSEÑOR BENIGNO LASCHI CASI IRIGOYEN,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
697,FARMACIAS,MICRO,DESPENSA 13 DE JUNIO,DESPENSA 13 DE JUNIO,MUJER,0331 240 036,-23.41997,-57.44265,INTENDENTE CABRAL Y MONSEÑOR LASCHI GONZALEZ,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
698,AUTOSERVICES,MICRO,COMPRA Y VENTA DE PESCADO,COMPRA Y VENTA DE PESCADO,HOMBRE,0,-23.41997,-57.44247,WALDIMIRO KOMPONIETZ C/ ALFREDO BERNAL,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
699,ROPA INTERIOR - Ventas,MICRO,PESCADERIA VELAZQUEZ,PESCADERIA VELAZQUEZ,HOMBRE,0,-23.41997,-57.44265,MONSEÑOR LASCHI CASI IRIGOYEN,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
700,PRENDAS - Ver. Ropas,MICRO,CRD,CRD,MUJER,976813087,-27.39305,-57.44276,TTE. JOSÉ CEFERINO GÓMEZ Y 2 DE MAYO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
701,BARES Y COPETINES,MICRO,VICTOR HUGO,VICTOR HUGO,MUJER,971414109,-23.39331,-57.4439,ANDRÉS MIANICOFF,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
702,COMIDAS - Servicios de - Ver: Servicios de Comida,MICRO,POMBERO TATAKUA,POMBERO TATAKUA,HOMBRE,0983415911 - 0983620305,-23.402854,-57.442602,YEGROS C/ AVDA HERMINIO MENDOZA,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
703,TAPICERIAS EN CUERO,MICRO,SNOOPY MODA INFANTIL,SNOOPY MODA INFANTIL,MUJER,331241857,-23.4095,-57.436216,AVDA BERNARDINO CABALLERO 510,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
704,OPTICAS,MICRO,LA MAGA,LA MAGA,MUJER,0,-23.403608,-57.443831,TTE. FLORENCIO GOMEZ CASI 14 DE MAYO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
705,JOYERIAS,MICRO,DESPENSA THIAGO,DESPENSA THIAGO,MUJER,984488289,-23.4095,-57.435883,AVDA. BERNARDINO CABALLERO 524,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
706,FERRETERIAS,MICRO,RYO S.A,RYO S.A,ORGANIZACION,0,-23.402671,-57.441454,AVDA PINEDO CASI HERMINIO MENDOZA,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
707,"ARTICULOS DE ILUMINACION - Ver: Iluminacion, Artefactos",MICRO,PUNTO FARMA,PUNTO FARMA,ORGANIZACION,0,-23.403708,-57.441445,AVENIDA PINEDO Y HUMAITA,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
708,BODEGAS,MICRO,MERCURIO CELL,MERCURIO CELL,HOMBRE,0,-23.403892,-57.441458,AVDA. PINEDO CASI TENIENTE GOMEZ,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
709,LIBROS,MICRO,CASA OVELAR,CASA OVELAR,MUJER,242753,-23.409199,-57.442578,14 DE MAYO ENTRE TENIENTE AGUERO Y TENIENTE GOMEZ,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
710,AUTOMOTORES - Electricidad del Automovil,MICRO,HIELOS RENE,HIELOS RENE,HOMBRE,240126,-23.404009,-57.442598,14 DE MAYO CASI TENIENTE AGUERO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
711,CELULAR - Activaciones,MICRO,HOTEL IMPERIAL,HOTEL IMPERIAL,HOMBRE,985137185,-23.40465,-57.444828,TENIENTE AGUERO CASI GENERAL GARAY,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
712,ESTETICA INTEGRAL - Centros de,MICRO,SALON DE BELLEZA FRANCIS,SALON DE BELLEZA FRANCIS,MUJER,240131,-23.402974,-57.443818,14 DE MAYO CASI HERMINIO MENDOZA,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
713,REMERAS - Ventas,MICRO,CASA EDGAR ANTONIO,CASA EDGAR ANTONIO,HOMBRE,0,-23.40457,-57.44211,TTE AGÜERO C/ YEGROS 186,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
714,DESPENSAS,MICRO,OTY AUSERVICE,OTY AUSERVICE,HOMBRE,2428757,-23.404668,-57.442957,TTE. AGUERO ENTRE YEGROS Y 14 DE MAYO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
715,AGROVETERINARIAS,MICRO,GALESA,GALESA,MUJER,240018,-23.403779,-57.442531,YEGRLS 225,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
716,FOTOCOPIADORAS - Insumos,MICRO,HERRERÍA CONCEPCIÓN,HERRERÍA CONCEPCIÓN,HOMBRE,971830422,-23.404599,-57.441959,TTE AGÜERO C/ YEGROS,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
717,ELECTRODOMESTICOS,MICRO,AYA COURRIER,AYA COURRIER,MUJER,241030,-23.402533,-57.44155,AVDA. HERMINIO MENDOZA ENTRE AVDA PINEDO Y YEGROS,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
718,NUTRICION ANIMAL,MICRO,DESPENSA FABISAN,DESPENSA FABISAN,MUJER,240046,-23.402727,-57.442558,YEGROS Y AVDA. HERMINIO MENDOZA,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
719,INFORMATICA - Asesoria Integral,MICRO,PELUQUERIA SILVIO,PELUQUERIA SILVIO,HOMBRE,982675500,-23.404798,-57.443426,TENIENTE AGUERO CASI 14 DE MAYO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
720,BAZARES,MICRO,HOSPINORTE,HOSPINORTE,HOMBRE,331241242,-23.40332,-57.44543,IGNACIO ITURBE C/ TTE AGÜERO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
721,"CONTABILIDAD, Estudios - Ver: Estudios Contables",MICRO,LO DE LILA,LO DE LILA,MUJER,331241058,-23.40543,-57.44385,GRAL GARAY 366 C/ JULIO OTAÑO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
722,ELECTRODOMESTICOS,MICRO,SAN BLAS AVENIDA,SAN BLAS AVENIDA,HOMBRE,243308,-23.405229,-57.441372,AVDA PINEDO CASI OTAÑO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
723,LIBRERIAS,MICRO,ACACIAS,ACACIAS,HOMBRE,331241118,-23.408549,-57.443925,MCAL. ESTIGARRIBIA Y GRAL. GARAY,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
724,FOTOGRAFIAS,MICRO,MÁS VISIÓN,MÁS VISIÓN,MUJER,331242123,-23.408549,-57.443925,MCAL. ESTIGARRIBIA C/ GRAL. GARAY,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
725,DESPENSAS,MICRO,MR,MR,HOMBRE,971490802,-23.39909,-57.4474,ASUNCIÓN C/ JUANA M DE ORTELLADO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
726,RAMOS GENERALES -Ver: Almacenes Ramos Generales,MICRO,EL ZURDO COMERCIAL,EL ZURDO COMERCIAL,MUJER,0,-23.39758,-57.45013,INSMAL GONZALEZ C/ ISMAEL IRALA FERNÁNDEZ,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
727,COMESTIBLES - Distribuidoras,MICRO,DELFI,DELFI,HOMBRE,0,-23.3971,-57.44968,MANUEL IRALA FERNANDEZ C/ 1° DE MARZO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
728,ODONTOLOGIA - Clinicas,MICRO,STILO FASHIÓN,STILO FASHIÓN,MUJER,0,-23.39796,-57.44986,FERNANDO DE LA MORA C/ ISMAEL GONZALEZ,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
729,BARES Y COPETINES,MICRO,ALDA,ALDA,MUJER,981378037,-23.39899,-57.44896,ASUNCIÓN Y 1°DE MARZO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
730,RAMOS GENERALES -Ver: Almacenes Ramos Generales,MICRO,EL CONDOR,EL CONDOR,MUJER,0331 242870,-23.39709,-57.44883,MANUEL IRALA FERNANDEZ C/ 1° DE MARZO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
731,ABOGADOS,MICRO,WALTER LEONARDO ESCOBAR FLECHA,WALTER LEONARDO ESCOBAR FLECHA,HOMBRE,971543767,-23.39811,-57.44847,FERNANDO DE LA MORA Y 1° DE MARZO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
732,DESPENSAS,MICRO,CARNICERIA Y DESPENSA,CARNICERIA Y DESPENSA,HOMBRE,973533477,-23.3971,-57.4473,CAPITAN MANUEL IRALA Y PROFESOR MERALDA DE ORTELLADO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
733,DESPENSAS,MICRO,MIÑO,MIÑO,HOMBRE,976143629,-23.3976,-57.44723,PROFESOR MERALDA OTERLLADO C/ FERNANDO DE LA MORA,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
734,BODEGAS,MICRO,LILIANA,LILIANA,MUJER,976907280,-23.39803,-57.44757,FERNANDO DE LA MORA,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
735,PESCADERIAS,MICRO,ARAMI CELL,ARAMI CELL,HOMBRE,971688788,-23.408552,-57.443877,MCAL. ESTIGARRIBIA C/ 14 DE MAYO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
736,PESCADERIAS,MICRO,SANTA ROSA,SANTA ROSA,MUJER,971826169,-23.408528,-57.443814,MCAL. ESTIGARRIBIA C/ 14 DE MAYO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
737,DESPENSAS,MICRO,NOVA,NOVA,MUJER,331240471,-23.408533,-57.443666,MCAL. ESTIGARRIBIA Y 14 DE MAYO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
738,PELUQUERIAS,MICRO,EXCEL,EXCEL,MUJER,331240285,-23.4085599,-57.4435733,MCAL. ESTIGARRIBIA Y 14 DE MAYO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
739,DESPENSAS,MICRO,BLACK AND WHITE,BLACK AND WHITE,MUJER,0,-23.41204,-57.43422,TENIENTE UBALDO CABRERA Y MAYOR LORENZO M.,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
740,CARNICERIAS,MICRO,BAZAR MARINA,BAZAR MARINA,MUJER,984863335,-23.40916,-57.43615,AVENIDA BERBARDINO CABALLERO Y SARGENTO PIRELLI,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
741,BODEGAS,MICRO,RECALDE,RECALDE,HOMBRE,0331 242 704,-23.40935,-57.43697,AVENIDA BERNARDINO CABALLERO Y SARGENTO PIRELLO,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
742,DESPENSAS,MICRO,SAN FRANCISCO,SAN FRANCISCO,MUJER,0331 242 931,-23.40859,-57.43672,MAYOR LORENZOY SARGENTO PIRELLI,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
743,MINI-MERCADOS,MICRO,CAACUPE,CAACUPE,HOMBRE,972538119,-23.40935,-57.43697,AVENIDA BERNARDINO CABALLERO Y DR. SANTOS CANILLA,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
744,PESCADERIAS,MICRO,NIÑO JESUS,NIÑO JESUS,HOMBRE,971708889,-23.40856,-57.43656,MAYOR LORENZO MEDINA Y DR. SANTOS CANILLA,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
745,PESCADERIAS,MICRO,G Y R,G Y R,HOMBRE,971563945,-23.40871,-57.43911,MAYOR LORENZO MEDINA Y DR. SANTOS CANILLS,Productos y Servicios,Universidad Nacional de Concepción,www.unc.edu.py,"SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
