"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description",Título,Descripción,"Categorías relacionadas","Forma de contacto con el centro"
,,,,,,,,,,,,,,
22,"Servicio público disponible",published,"2020-03-20 10:12:04","2020-03-20 10:15:38","2020-03-20 10:00:04",,,,,,"Reparto de la compra de alimentos en Soria","Empresa Social que se encarga de la compra de alimentos en Soria",Alimentación,info@laexclusiva.org
27,"Servicio público disponible",published,"2020-03-20 10:30:16","2020-03-20 10:32:15","2020-03-20 10:25:03",,,,,,"Corona Madrid. Aplicación de autoevaluación del coronavirus.","Evalúa tu salud si sientes que tienes síntomas y recibe instrucciones y recomendaciones sobre el COVID-19 https://www.coronamadrid.com/",Salud,contacto@coronamadrid.com
31,"Servicio público disponible",published,"2020-03-20 10:57:30","2020-03-20 11:07:38","2020-03-20 10:42:34",,,,,,"Cabify lleva un médico","Cabify dispone de un servicio de vehículo para sanitarios en sus desplazamientos a domicilios de personas que lo necesitan
https://actua.frenalacurva.net/t/cabify-lleva-un-medico/2085",Atención/Cuidados,
32,"Servicio público disponible",published,"2020-03-20 11:01:42","2020-03-20 12:24:29","2020-03-20 10:58:22",,,,,,"Teléfonos de emergencia consular","Si eres español y te encuentras en el extranjero tiene usted una emergencia en el exterior (o conoce a alguna persona que se encuentra en dicha situación) y quiere informarse de como regresar a España y necesita asistencia puede contactarnos durante las 24 horas
https://actua.frenalacurva.net/t/telefonos-de-emergencia-consular/2011",Otros,"913 79 97 00"
33,"Servicio público disponible",published,"2020-03-20 11:08:49","2020-03-20 11:15:37","2020-03-20 11:06:43",,,,,,"Zaragoza Ayuda","Aplicación para facilitar la ayuda para la ciudadanía de Zaragoza
https://actua.frenalacurva.net/t/zaragoza-ayuda-zaragoza/2061",Atención/Cuidados,
34,"Servicio público disponible",published,"2020-03-20 11:15:00","2020-03-20 12:34:23","2020-03-20 11:12:58",,,,,,"Servicio de Voluntariado en Huesca","Fundación Cruz Blanca busca #voluntariado contra el #Coronavirus.
Mediante atención telefónica en el #CentrodeEscucha
Realizando servicio a domicilio
Apoyando a personas #sinhogar
https://actua.frenalacurva.net/t/voluntariado-en-huesca-con-fundacion-cruz-blanca/1875",Atención/Cuidados,voluntariado-aragon@cruzblanca.org
35,"Servicio público disponible",published,"2020-03-20 11:15:32","2020-03-20 11:19:22","2020-03-20 11:06:55",,,,,,"Médicos frente al COVID_descongestionar el servicio sanitario",https://www.medicosfrentealcovid.org/,"Atención/Cuidados,Salud","soporte@dkvservicios.com   93 009 89 61"
37,"Servicio público disponible",published,"2020-03-20 11:20:07","2020-03-20 14:30:02","2020-03-20 11:17:08",,,,,,"Galicia. Organizaciones de apoyo","Listado de organizaciones de Galicia para ayudas
https://actua.frenalacurva.net/t/galicia-grupos-digitales-y-contactos-de-organizacion-de-apoyo/1431",Otros,
39,"Servicio público disponible",published,"2020-03-20 11:38:53","2020-03-20 12:00:52","2020-03-20 11:24:41",,,,,,"Escuela Activa Fundación Piquer","El programa Escuela Activa, es un proyecto de innovación educativa desarrollado por Fundación Piquer y apoyado por Dirección General de Familias del Gobierno de Aragón , facilita herramientas y recursos (de modo gratuito) con el objetivo de mejorar y alcanzar el éxito educativo de los menores , a través del trabajo con sus familias .
https://actua.frenalacurva.net/t/escuela-activa-de-la-fundacion-piquer-aragon/1582",Otros,info@grupopiquer.com
