"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description","Título de la necesidad",Descripción,"Categorías relacionadas"
,,,,,,,,,,,,,
9,"Necesidad propia",published,"2020-03-19 08:54:21","2020-03-20 14:26:01","2020-03-19 08:50:36",,,,,,"RECOGIDA DE MASCARILLAS","La consejeria de Salud del Gobierno de Aragón ha habilitado un punto de recogida de material médico (mascarillas, guantes,...) en la recepción de la Consejería. En via Universitas / Esquinas del Psiquiátrico.","Higiene,Salud"
11,"Necesidad propia",published,"2020-03-19 10:37:01","2020-03-19 11:33:43","2020-03-19 10:34:33",,,,,,"Necesito una mascarilla para una persona enferma","Soy una persona mayor con dificultad respiratoria y me vendria muy bien una mascarilla. Puedes avisarme por mail y depositarla en mi buzón.",Higiene
12,"Necesidad propia",published,"2020-03-19 10:48:05","2020-03-19 10:54:31","2020-03-19 10:46:29",,,,,,"Necesito medicamento de la farmacia.","Necesito un medicamento de la farmacia, soy una persona mayor y no me recomiendan salir. Puedes avisarme y te diria cómo dejarlo en el buzón, gracias!",
14,"Necesidad propia",published,"2020-03-20 06:17:14","2020-03-25 14:27:32","2020-03-20 06:14:03",,,,,,"RECOGIDA DE MASCARILLAS HECHAS EN CASA","Donar las mascarillas que hacemos sin salir de casa

Canaliza @LAAAB_es @GobAragón junto a Protección Civil.

Solicitud de recogida a través de:
· Formulario en: www.frenalacurva.net/mascarillas
· WhatsApp al 689229937","Maker (Impresión 3D / Mascarillas)"
17,"Necesidad propia",published,"2020-03-20 10:00:16","2020-03-20 10:03:02","2020-03-20 09:57:39",,,,,,"Buscamos personas con máquina de coser para confección de Mascarillas","Personas con máquina de coser que se comprometan a hacer mascarillas. Podemos aportarles material y recoger las mascarillas confeccionadas. Más info: 

https://actua.frenalacurva.net/t/confeccion-de-mascarillas-sevilla/2103","Maker (Impresión 3D / Mascarillas)"
18,"Necesidad propia",published,"2020-03-20 10:01:35","2020-03-20 10:03:19","2020-03-20 10:00:31",,,,,,"Buscamos personas con máquina de coser para elaborar mascarillas","Personas con máquina de coser que se comprometan a hacer mascarillas. Podemos aportarles material y recoger las mascarillas confeccionadas. Más info: 

https://actua.frenalacurva.net/t/confeccion-de-mascarillas-sevilla/2103","Maker (Impresión 3D / Mascarillas)"
19,"Necesidad propia",published,"2020-03-20 10:02:17","2020-03-20 10:03:14","2020-03-20 10:01:44",,,,,,"Buscamos personas con máquina de coser para elaborar mascarillas","Personas con máquina de coser que se comprometan a hacer mascarillas. Podemos aportarles material y recoger las mascarillas confeccionadas. Más info: 

https://actua.frenalacurva.net/t/confeccion-de-mascarillas-sevilla/2103","Maker (Impresión 3D / Mascarillas)"
20,"Necesidad propia",published,"2020-03-20 10:02:39","2020-03-20 10:12:00","2020-03-20 10:02:20",,,,,,"Buscamos personas con máquina de coser para elaborar mascarillas","Personas con máquina de coser que se comprometan a hacer mascarillas. Podemos aportarles material y recoger las mascarillas confeccionadas. Más info: 

https://actua.frenalacurva.net/t/confeccion-de-mascarillas-sevilla/2103","Maker (Impresión 3D / Mascarillas)"
21,"Necesidad propia",published,"2020-03-20 10:09:16","2020-03-20 10:15:03","2020-03-20 10:07:57",,,,,,"Voluntarios para alimentar a colonias felinas autorizadas en valencia","Hola soy alimentadora autorizada de una colonia felina en Valencia capital. Podemos crear una red de voluntariado para alimentar a los gatos de lxs cuidadores que por razón de su edad avanzada no puedan salir en estos días de cuarentena.

Mas info:

https://actua.frenalacurva.net/t/voluntarixs-alimentar-colonias-felinas-en-valencia/1308",Otros
36,"Necesidad propia",published,"2020-03-20 11:19:29","2020-03-20 11:26:17","2020-03-20 11:14:19",,,,,,"cartas  de esperanza","enviar cartas y dibujos de apoyo y solidaridad para que no se sientan solos en la residencia de María de Huerva (Zaragoza)",Otros
51,"Necesidad propia",published,"2020-03-20 12:18:36","2020-03-20 12:19:05","2020-03-20 12:17:15",,,,,,"Necesitamos makers imprimiendo Pantallas 3D","Si tienes una impresora 3D, puedes colaborar fabricando pantallas de protección muy útiles para el personal sanitario. Se trata de una protección muy básica, pero muy efectiva.

El grupo Aramakers3D (CV_19_FAB Aragón) ha creado un modelo práctico y efectivo que se puede enviar al Gobiero de Aragón paar distribuir en los lugares que sea más necesario.
Puedes contactar con este grupo a través del correo coronamakersaragon@gmail.com

mas info
https://actua.frenalacurva.net/t/pantallas-3d-instrucciones-de-produccion-y-enttrga-en-aragon/2280","Maker (Impresión 3D / Mascarillas)"
